ecut1     7.00000000E+00 Hartree	
ecut2     1.10000000E+01 Hartree
ecut3     1.50000000E+01 Hartree
ecut4     1.90000000E+01 Hartree
ecut5     2.30000000E+01 Hartree
ecut6     2.70000000E+01 Hartree
ecut7     3.10000000E+01 Hartree
ecut8     3.50000000E+01 Hartree
ecut9     3.90000000E+01 Hartree
ecut10    4.30000000E+01 Hartree

etotal1   -1.60086690865242E+02
etotal2   -1.64525176655860E+02
etotal3   -1.67654536656797E+02
etotal4   -1.68320394773172E+02
etotal5   -1.68541755486013E+02
etotal6   -1.68594522095186E+02
etotal7   -1.68604428081165E+02
